"New Analysis Project,""=HYPERLINK(""""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_19266-Orion.CPULoad.MinLoad,0_Orion.Nodes_19266-Orion.CPULoad.MaxLoad,0_Orion.Nodes_19266-Orion.CPULoad.AvgLoad";"&startTime=2021-12-15T08:02:00.000Z&endTime=2022-02-15T20:02:00.000Z"""")"""
Start,2021-12-15 03:02:00,End,2022-02-15 15:02:00;
;
Custom Chart;
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,;
"DNRC-SRV-02,""Minimum CPU Load (%)"",2022-01-19 19:17:00,0,,""DNRC-SRV-02"",""Peak CPU Load (%)"",2022-01-19 19:17:00,7,,""DNRC-SRV-02"",""Average CPU Load (%)"",2022-01-19 19:17:00,0.5,,";
"DNRC-SRV-02,""Minimum CPU Load (%)"",2022-01-20 01:32:00,0,,""DNRC-SRV-02"",""Peak CPU Load (%)"",2022-01-20 01:32:00,13,,""DNRC-SRV-02"",""Average CPU Load (%)"",2022-01-20 01:32:00,1.3333333333333333,,";
"DNRC-SRV-02,""Minimum CPU Load (%)"",2022-01-20 07:47:00,0,,""DNRC-SRV-02"",""Peak CPU Load (%)"",2022-01-20 07:47:00,8,,""DNRC-SRV-02"",""Average CPU Load (%)"",2022-01-20 07:47:00,0.6666666666666666,,";
"DNRC-SRV-02,""Minimum CPU Load (%)"",2022-01-20 14:02:00,0,,""DNRC-SRV-02"",""Peak CPU Load (%)"",2022-01-20 14:02:00,21,,""DNRC-SRV-02"",""Average CPU Load (%)"",2022-01-20 14:02:00,1.2439024390243902,,";
"DNRC-SRV-02,""Minimum CPU Load (%)"",2022-01-20 20:17:00,0,,""DNRC-SRV-02"",""Peak CPU Load (%)"",2022-01-20 20:17:00,7,,""DNRC-SRV-02"",""Average CPU Load (%)"",2022-01-20 20:17:00,0.8333333333333334,,";
"DNRC-SRV-02,""Minimum CPU Load (%)"",2022-01-21 02:32:00,0,,""DNRC-SRV-02"",""Peak CPU Load (%)"",2022-01-21 02:32:00,3,,""DNRC-SRV-02"",""Average CPU Load (%)"",2022-01-21 02:32:00,0.3333333333333333,,";
"DNRC-SRV-02,""Minimum CPU Load (%)"",2022-01-21 08:47:00,0,,""DNRC-SRV-02"",""Peak CPU Load (%)"",2022-01-21 08:47:00,11,,""DNRC-SRV-02"",""Average CPU Load (%)"",2022-01-21 08:47:00,1,,";
"DNRC-SRV-02,""Minimum CPU Load (%)"",2022-01-21 15:02:00,0,,""DNRC-SRV-02"",""Peak CPU Load (%)"",2022-01-21 15:02:00,12,,""DNRC-SRV-02"",""Average CPU Load (%)"",2022-01-21 15:02:00,0.5714285714285714,,";
"DNRC-SRV-02,""Minimum CPU Load (%)"",2022-01-21 21:17:00,0,,""DNRC-SRV-02"",""Peak CPU Load (%)"",2022-01-21 21:17:00,7,,""DNRC-SRV-02"",""Average CPU Load (%)"",2022-01-21 21:17:00,0.6666666666666666,,";
"DNRC-SRV-02,""Minimum CPU Load (%)"",2022-01-22 03:32:00,0,,""DNRC-SRV-02"",""Peak CPU Load (%)"",2022-01-22 03:32:00,6,,""DNRC-SRV-02"",""Average CPU Load (%)"",2022-01-22 03:32:00,0.8333333333333334,,";
