"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?context=0_Orion.Nodes_17149&withRelationships=true&charts=0_Orion.Nodes_17149-Orion.PerfStack.Events;0_Orion.Nodes_17149-Orion.PerfStack.Status;&startTime=2022-01-01T05:00:00.000Z&endTime=2022-03-01T05:00:00.000Z"")"
Start,2022-01-01 00:00:00,End,2022-03-01 00:00:00

"Custom Chart"
Entity,Metric,Date/Time,Value,Entity,Metric,Date/Time,Value,Entity,Metric,Date/Time,Value,Entity,Metric,Date/Time,Value,
"RNEC-VM-09","Events",2022-01-14 06:36:00,78,"RNEC-VM-09","Critical",2022-01-14 06:36:00,0,"RNEC-VM-09","Warning",2022-01-14 06:36:00,34,"RNEC-VM-09","Informational",2022-01-14 06:36:00,44,
"RNEC-VM-09","Events",2022-01-14 12:30:00,80,"RNEC-VM-09","Critical",2022-01-14 12:30:00,0,"RNEC-VM-09","Warning",2022-01-14 12:30:00,39,"RNEC-VM-09","Informational",2022-01-14 12:30:00,41,
"RNEC-VM-09","Events",2022-01-14 18:24:00,58,"RNEC-VM-09","Critical",2022-01-14 18:24:00,0,"RNEC-VM-09","Warning",2022-01-14 18:24:00,28,"RNEC-VM-09","Informational",2022-01-14 18:24:00,30,
"RNEC-VM-09","Events",2022-01-15 00:18:00,76,"RNEC-VM-09","Critical",2022-01-15 00:18:00,0,"RNEC-VM-09","Warning",2022-01-15 00:18:00,38,"RNEC-VM-09","Informational",2022-01-15 00:18:00,38,
"RNEC-VM-09","Events",2022-01-15 06:12:00,74,"RNEC-VM-09","Critical",2022-01-15 06:12:00,0,"RNEC-VM-09","Warning",2022-01-15 06:12:00,35,"RNEC-VM-09","Informational",2022-01-15 06:12:00,39,
"RNEC-VM-09","Events",2022-01-15 12:06:00,79,"RNEC-VM-09","Critical",2022-01-15 12:06:00,0,"RNEC-VM-09","Warning",2022-01-15 12:06:00,38,"RNEC-VM-09","Informational",2022-01-15 12:06:00,41,
"RNEC-VM-09","Events",2022-01-15 18:00:00,90,"RNEC-VM-09","Critical",2022-01-15 18:00:00,0,"RNEC-VM-09","Warning",2022-01-15 18:00:00,43,"RNEC-VM-09","Informational",2022-01-15 18:00:00,47,
"RNEC-VM-09","Events",2022-01-15 23:54:00,75,"RNEC-VM-09","Critical",2022-01-15 23:54:00,0,"RNEC-VM-09","Warning",2022-01-15 23:54:00,37,"RNEC-VM-09","Informational",2022-01-15 23:54:00,38,
"RNEC-VM-09","Events",2022-01-16 05:48:00,68,"RNEC-VM-09","Critical",2022-01-16 05:48:00,0,"RNEC-VM-09","Warning",2022-01-16 05:48:00,30,"RNEC-VM-09","Informational",2022-01-16 05:48:00,38,
"RNEC-VM-09","Events",2022-01-16 11:42:00,83,"RNEC-VM-09","Critical",2022-01-16 11:42:00,0,"RNEC-VM-09","Warning",2022-01-16 11:42:00,40,"RNEC-VM-09","Informational",2022-01-16 11:42:00,43,
"RNEC-VM-09","Events",2022-01-16 17:36:00,92,"RNEC-VM-09","Critical",2022-01-16 17:36:00,0,"RNEC-VM-09","Warning",2022-01-16 17:36:00,42,"RNEC-VM-09","Informational",2022-01-16 17:36:00,50,
"RNEC-VM-09","Events",2022-01-16 23:30:00,83,"RNEC-VM-09","Critical",2022-01-16 23:30:00,0,"RNEC-VM-09","Warning",2022-01-16 23:30:00,40,"RNEC-VM-09","Informational",2022-01-16 23:30:00,43,
"RNEC-VM-09","Events",2022-01-17 05:24:00,86,"RNEC-VM-09","Critical",2022-01-17 05:24:00,0,"RNEC-VM-09","Warning",2022-01-17 05:24:00,41,"RNEC-VM-09","Informational",2022-01-17 05:24:00,45,
"RNEC-VM-09","Events",2022-01-17 11:18:00,54,"RNEC-VM-09","Critical",2022-01-17 11:18:00,0,"RNEC-VM-09","Warning",2022-01-17 11:18:00,24,"RNEC-VM-09","Informational",2022-01-17 11:18:00,30,
